,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
183,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Sport 2.0 TDI 4Motion 110 kW (150 CV) Automático DSG 7 vel.,,"6,6","6,6","174,0","174,0"
184,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Sport 2.0 TDI 4Motion 147 kW (200 CV) Automático DSG 7 vel.,,"6,6","6,6","177,0","177,0"
185,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace 1.5 TSI 110 kW (150 CV)  Manual 6 vel.,,"6,7","6,7","152,0","152,0"
186,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace 2.0 TDI 110 kW (150 CV)  Manual 6 vel.,,"5,3","5,3","138,0","138,0"
187,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace Life 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"7,2","7,2","163,0","163,0"
188,Volkswagen Turismos Arteon MY22 Arteon 1.5 TSI 110 kW (150 CV)  6 vel.,,"6,0","6,0","142,0","142,0"
189,Volkswagen Turismos Arteon MY22 Arteon 2.0 TDI 110 kW (150 CV)  6 vel.,,"7,7","7,7","126,0","126,0"
190,Volkswagen Turismos Arteon MY22 Arteon eHybrid Elegance 1.4 TSI Combinado: 160 kW (218 CV)  Automatico DSG 6 vel.,,"1,3","1,3","29,0","29,0"
191,Volkswagen Turismos Arteon MY22 Arteon eHybrid R-Line 1.4 TSI Combinado: 160 kW (218 CV)  Automatico DSG 6 vel.,,"1,3","1,3","29,0","29,0"
192,Volkswagen Turismos Arteon MY22 Arteon Elegance 1.5 TSI 110 kW (150 CV)  6 vel.,,"7,8","7,8","150,0","150,0"
193,Volkswagen Turismos Arteon MY22 Arteon Elegance 2.0 TDI 110 kW (150 CV)  6 vel.,,"5,8","5,8","133,0","133,0"
194,Volkswagen Turismos Arteon MY22 Arteon Elegance 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,1","5,1","133,0","133,0"
195,Volkswagen Turismos Arteon MY22 Arteon Elegance 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.,,"5,5","5,5","144,0","144,0"
196,Volkswagen Turismos Arteon MY22 Arteon Elegance 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.,,"7,8","7,8","165,0","165,0"
